first_name,last_name,address,city,county,state,zip,phone,email
James,Butt,6649 N Blue Gum St,New Orleans,Orleans,LA,70116,504-845-1427,jbutt@gmail.com
Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,Livingston,MI,48116,810-374-9840,josephine_darakjy@darakjy.org
Art,Venere,8 W Cerritos Ave #54,Bridgeport,Gloucester,NJ,8014,856-264-4130,art@venere.org
Lenna,Paprocki,639 Main St,Anchorage,Anchorage,AK,99501,907-921-2010,lpaprocki@hotmail.com
Donette,Foller,34 Center St,Hamilton,Butler,OH,45011,513-549-4561,donette.foller@cox.net
Simona,Morasca,3 Mcauley Dr,Ashland,Ashland,OH,44805,419-800-6759,simona@morasca.com
Mitsue,Tollner,7 Eads St,Chicago,Cook,IL,60632,773-924-8565,mitsue_tollner@yahoo.com
Leota,Dilliard,7 W Jackson Blvd,San Jose,Santa Clara,CA,95111,408-813-1105,leota@hotmail.com
Sage,Wieser,5 Boston Ave #88,Sioux Falls,Minnehaha,SD,57105,605-794-4895,sage_wieser@cox.net
Kris,Marrier,228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,21224,410-804-4694,kris@gmail.com
Minna,Amigon,2371 Jerrold Ave,Kulpsville,Montgomery,PA,19443,215-422-8694,minna_amigon@yahoo.com
Abel,Maclead,37275 St  Rt 17m M,Middle Island,Suffolk,NY,11953,631-677-3675,amaclead@gmail.com
Kiley,Caldarera,25 E 75th St #69,Los Angeles,Los Angeles,CA,90034,310-254-3084,kiley.caldarera@aol.com
Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,44023,440-579-7763,gruta@cox.net
Cammy,Albares,56 E Morehead St,Laredo,Webb,TX,78045,956-841-7216,calbares@gmail.com
Mattie,Poquette,73 State Road 434 E,Phoenix,Maricopa,AZ,85013,602-953-6360,mattie@aol.com
Meaghan,Garufi,69734 E Carrillo St,Mc Minnville,Warren,TN,37110,931-235-7959,meaghan@hotmail.com
Gladys,Rim,322 New Horizon Blvd,Milwaukee,Milwaukee,WI,53207,414-377-2880,gladys.rim@rim.org
Yuki,Whobrey,1 State Route 27,Taylor,Wayne,MI,48180,313-341-4470,yuki_whobrey@aol.com
Fletcher,Flosi,394 Manchester Blvd,Rockford,Winnebago,IL,61109,815-426-5657,fletcher.flosi@yahoo.com
Bette,Nicka,6 S 33rd St,Aston,Delaware,PA,19014,610-492-4643,bette_nicka@cox.net
Veronika,Inouye,6 Greenleaf Ave,San Jose,Santa Clara,CA,95111,408-813-4592,vinouye@aol.com
Willard,Kolmetz,618 W Yakima Ave,Irving,Dallas,TX,75062,972-896-4882,willard@hotmail.com
Maryann,Royster,74 S Westgate St,Albany,Albany,NY,12204,518-448-8982,mroyster@royster.com
Alisha,Slusarski,3273 State St,Middlesex,Middlesex,NJ,8846,732-635-3453,alisha@slusarski.com
Allene,Iturbide,1 Central Ave,Stevens Point,Portage,WI,54481,715-530-9863,allene_iturbide@cox.net
Chanel,Caudy,86 Nw 66th St #8673,Shawnee,Johnson,KS,66218,913-899-1103,chanel.caudy@caudy.org
Ezekiel,Chui,2 Cedar Ave #84,Easton,Talbot,MD,21601,410-235-8738,ezekiel@chui.com
Willow,Kusko,90991 Thorburn Ave,New York,New York,NY,10011,212-934-5167,wkusko@yahoo.com
Bernardo,Figeroa,386 9th Ave N,Conroe,Montgomery,TX,77301,936-597-3614,bfigeroa@aol.com
Ammie,Corrio,74874 Atlantic Ave,Columbus,Franklin,OH,43215,614-648-3265,ammie@corrio.com
Francine,Vocelka,366 South Dr,Las Cruces,Dona Ana,NM,88011,505-335-5293,francine_vocelka@vocelka.com
Ernie,Stenseth,45 E Liberty St,Ridgefield Park,Bergen,NJ,7660,201-387-9093,ernie_stenseth@aol.com
Albina,Glick,4 Ralph Ct,Dunellen,Middlesex,NJ,8812,732-782-6701,albina@glick.com
Alishia,Sergi,2742 Distribution Way,New York,New York,NY,10025,212-753-2740,asergi@gmail.com
Solange,Shinko,426 Wolf St,Metairie,Jefferson,LA,70002,504-265-8174,solange@shinko.com
Jose,Stockham,128 Bransten Rd,New York,New York,NY,10011,212-569-4233,jose@yahoo.com
Rozella,Ostrosky,17 Morena Blvd,Camarillo,Ventura,CA,93012,805-609-1531,rozella.ostrosky@ostrosky.com
Valentine,Gillian,775 W 17th St,San Antonio,Bexar,TX,78204,210-300-6244,valentine_gillian@gmail.com
Kati,Rulapaugh,6980 Dorsett Rd,Abilene,Dickinson,KS,67410,785-219-7724,kati.rulapaugh@hotmail.com
Youlanda,Schemmer,2881 Lewis Rd,Prineville,Crook,OR,97754,541-993-2611,youlanda@aol.com
Dyan,Oldroyd,7219 Woodfield Rd,Overland Park,Johnson,KS,66204,913-645-8918,doldroyd@aol.com
Roxane,Campain,1048 Main St,Fairbanks,Fairbanks North Star,AK,99708,907-335-6568,roxane@hotmail.com
Lavera,Perin,678 3rd Ave,Miami,Miami-Dade,FL,33196,305-995-2078,lperin@perin.org
Erick,Ferencz,20 S Babcock St,Fairbanks,Fairbanks North Star,AK,99712,907-227-6777,erick.ferencz@aol.com
Fatima,Saylors,2 Lighthouse Ave,Hopkins,Hennepin,MN,55343,952-479-2375,fsaylors@saylors.org
Jina,Briddick,38938 Park Blvd,Boston,Suffolk,MA,2128,617-997-5771,jina_briddick@briddick.com
Kanisha,Waycott,5 Tomahawk Dr,Los Angeles,Los Angeles,CA,90006,323-315-7314,kanisha_waycott@yahoo.com
Emerson,Bowley,762 S Main St,Madison,Dane,WI,53711,608-658-7940,emerson.bowley@bowley.org
Blair,Malet,209 Decker Dr,Philadelphia,Philadelphia,PA,19132,215-794-4519,bmalet@yahoo.com
